Number of elements 658
   255 : -2.1710221e-03 -2.0283461e-03  9.2198953e-04
   256 :  1.0066563e-05 -1.3082523e-05  1.9291696e-06
   257 : -3.6267108e-20  1.0056188e-19 -1.6779623e-20
   258 : -1.3505422e-14  5.0952417e-15  1.0875053e-15
   259 : -3.5591247e-27  1.8670151e-27  5.0377749e-27
   260 :  6.9708110e-22 -7.7402149e-22  1.2279484e-22
   261 :  1.0401716e+00  7.7326577e-01  1.1192962e+00
   262 : -2.7688721e-04  7.3763878e-04  2.3807175e-04
   263 :  1.2464668e-12  5.6389055e-13 -2.5065457e-12
   264 : -3.2471236e-17 -5.1532548e-17  1.4603532e-16
   265 :  1.8995068e-14  5.7449000e-14 -8.1250261e-14
   266 :  3.2687876e-10 -1.2538298e-09 -2.7402951e-10
   267 :  4.2142777e-01  1.1209701e-01  1.4832029e-01
   268 : -9.2716303e-05 -4.2897825e-05  5.5048368e-05
   269 : -6.1982275e-10  4.4188190e-09 -1.1938654e-09
   270 : -2.5982460e-09  4.6164486e-09  1.6306716e-09
   271 :  2.0748132e-10 -4.6871069e-10  7.9666232e-10
   272 :  2.8252220e-03  2.7454818e-02 -4.4319450e-03
   273 :  6.3195953e-08 -4.9285020e-07  8.0665403e-07
   274 : -5.4614764e-04  5.9916996e-03 -2.0977435e-02
   275 :  1.0700369e-17 -1.2716260e-17 -9.3939543e-18
   276 :  3.7294843e-10 -5.5028405e-10 -4.2138218e-10
   277 : -3.2674611e-14  5.6856046e-14  8.5586291e-15
   278 : -8.7746156e-05  5.9815523e-05  8.3062332e-06
   279 : -1.2716776e-06 -2.6542357e-07  5.8555795e-07
   280 :  3.8300967e-09 -8.4671096e-09 -3.6023657e-10
   281 :  3.6522824e-04 -1.4277933e-04  3.8590876e-05
   282 : -9.9061794e-23  3.6154527e-23  1.7572819e-22
   283 :  1.3323791e-01  6.8366826e-01  8.1873486e-01
   284 : -1.5117939e-07  7.4289569e-08  3.7588524e-08
   285 : -1.7428171e-08  1.5465032e-09  7.5145787e-09
   286 : -2.2328143e-05 -8.0414884e-07  8.2283346e-06
   287 :  5.0140662e-05 -3.1967835e-05  5.9747104e-05
   288 :  1.0399626e-20 -2.7829269e-20  7.1910400e-21
   289 :  4.9467430e-16 -3.3244890e-15  2.3966166e-15
   290 : -7.7142956e-15  9.1234531e-15  8.5951287e-15
   291 : -5.3629063e-05  4.5291663e-05 -7.6015465e-05
   292 : -2.6681014e-20  1.3756667e-20 -3.0009270e-21
   293 : -3.3443407e-15 -3.0478415e-16  1.6237050e-15
   294 :  1.0943481e-10 -1.2977375e-10 -1.2779067e-10
   295 :  6.7557410e-01  1.0710827e+00  1.1217631e+00
   296 : -1.1348561e-06 -5.1417836e-08  4.8557545e-07
   297 :  2.1684600e-03 -3.8709866e-04 -4.2405219e-04
   298 :  2.4315512e-13 -6.6991281e-13  1.6949298e-13
   299 : -2.0087853e-09  9.3516032e-09 -3.6568948e-09
   300 : -2.7927201e-09  1.0099903e-09  5.5348018e-10
   301 : -7.1976458e-06  5.5328175e-06  5.5928343e-07
   302 :  7.9557435e-01  7.1652916e-01  9.4405454e-01
   303 : -2.1287361e-12 -1.6603388e-11  2.4017498e-11
   304 : -1.5081506e-02  4.8574883e-01  2.6770616e-01
